['Mercedes-Benz', 'C-Class', 'C200', 500000, 2017, 250]
['Mercedes-Benz', 'C-Class', 'C220d', 499995, 2017, 9200]
['Mercedes-Benz', 'C-Class', 'C180', 499995, -1, -1]
['Mercedes-Benz', 'C-Class', 'C180', 499995, 2017, 11181]
['Mercedes-Benz', 'C-Class', 'C220d', 499995, -1, -1]
['Mercedes-Benz', 'C-Class', 'C200', 499995, 2015, 17000]
['Mercedes-Benz', 'C-Class', 'C220', 499995, 2016, 16083]
['Mercedes-Benz', 'C-Class', 'C180', 499995, 2017, 26000]
['Mercedes-Benz', 'C-Class', 'C250d', 499995, 2016, 15400]
['Mercedes-Benz', 'C-Class', 'C180', 499995, 2015, 13000]
['Mercedes-Benz', 'C-Class', 'C250', 499990, 2015, 39129]
['Mercedes-Benz', 'C-Class', 'C200', 499950, 2016, 14877]
['Mercedes-Benz', 'C-Class', 'C200', 499950, 2015, 39000]
['Mercedes-Benz', 'C-Class', 'C180', 499950, 2016, 27224]
['Mercedes-Benz', 'C-Class', 'C180', 499950, 2016, 67000]
['Mercedes-Benz', 'C-Class', 'C200', 499950, 2017, 16800]
['Mercedes-Benz', 'C-Class', 'C250', 499950, 2016, 15000]
['Mercedes-Benz', 'C-Class', 'C180', 499950, 2018, 12599]
['Mercedes-Benz', 'C-Class', 'C180', 499950, 2017, 20000]
['Mercedes-Benz', 'C-Class', 'C180', 499950, 2017, 17849]
['Mercedes-Benz', 'C-Class', 'C180', 499950, -1, -1]
['Mercedes-Benz', 'C-Class', 'C180', 499950, 2017, 8900]
['Mercedes-Benz', 'C-Class', 'C180', 499950, 2018, 11544]
['Mercedes-Benz', 'C-Class', 'C180', 499950, 2017, 14500]
['Mercedes-Benz', 'C-Class', 'C200', 499950, 2018, 11506]
['Mercedes-Benz', 'C-Class', 'C180', 499950, 2017, 7939]
['Mercedes-Benz', 'C-Class', 'C180', 499950, 2017, 5007]
['Mercedes-Benz', 'C-Class', 'C180', 499950, 2017, 8860]
['Mercedes-Benz', 'C-Class', 'C200CGI', 209900, 2011, 81939]
['Mercedes-Benz', 'C-Class', 'C220', 419900, 2015, 37700]
['Mercedes-Benz', 'C-Class', 'C220', 419900, 2015, 58000]
['Mercedes-Benz', 'C-Class', 'C180', 419900, -1, -1]
['Mercedes-Benz', 'C-Class', 'C180', 419800, 2015, 30705]
['Mercedes-Benz', 'C-Class', 'C180', 419800, 2014, 66000]
['Mercedes-Benz', 'C-Class', 'C220d', 419500, 2014, 66000]
['Mercedes-Benz', 'C-Class', 'C200', 419000, 2015, 55404]
['Mercedes-Benz', 'C-Class', 'C200', 419000, -1, -1]
['Mercedes-Benz', 'C-Class', 'C180', 415950, 2016, 48000]
['Mercedes-Benz', 'C-Class', 'C250d', 414900, 2015, 65767]
['Mercedes-Benz', 'C-Class', 'C220d', 410000, 2016, 15500]
['Mercedes-Benz', 'C-Class', 'C63', 409990, 2014, 59855]
['Mercedes-Benz', 'C-Class', 'C200', 409950, 2016, 31000]
['Mercedes-Benz', 'C-Class', 'C200', 409950, 2009, 86000]
['Mercedes-Benz', 'C-Class', 'C220d', 409950, -1, -1]
['Mercedes-Benz', 'C-Class', 'C250d', 409950, 2015, 32990]
['Mercedes-Benz', 'C-Class', 'C200', 409950, 2014, 54000]
['Mercedes-Benz', 'C-Class', 'C200', 409900, 2014, 34000]
['Mercedes-Benz', 'C-Class', 'C180', 409900, -1, -1]
['Mercedes-Benz', 'C-Class', 'C180', 409900, 2014, 55000]
